Clave,Subdireccion,Eje,Indicador,Formula,Meta2026,Base2025,Fuente,Frecuencia,EstadoDato,Vs2025,Compartido,Origen,Nota,Ejemplo
TBX-10,TBX,02. Entregar mejor,Fill rate de bodega TBX (Kardex),Líneas surtidas del inventario de bodega al primer pedido ÷ Líneas solicitadas,≥ 90%,Sin dato 2025,Power BI · TBX,Semanal,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026 TBX: ""06. Fill Rate BD · Kardex"".",Se pidieron 340 líneas a bodega TBX en la semana; 312 se surtieron del inventario al primer pedido. 92%. Cumple.
TBX-11,TBX,02. Entregar mejor,Trabajos conciliados y estimados,Servicios ejecutados conciliados con el cliente y estimados ÷ Servicios ejecutados · días de ejecución a estimación,100% · < 45 días,Meta 2026 TBX,Business Central · órdenes de servicio,Semanal,Parcial,Se mantiene,,Catálogo 2026,"Catálogo 2026 TBX: ""09. Facturabilidad"" y ""11. Trabajos conciliados y estimados"".","De 120 rentas y servicios del mes, 112 quedaron conciliados y estimados = 93%. No cumple el 100%: 8 por $95 KUSD no se pueden facturar todavía."
TBX-12,TBX,02. Entregar mejor,Tiempo de entrega de contenedor en sitio,Días naturales de pedido confirmado a contenedor en locación,≤ 5 días,Sin medición,Business Central · pedidos de venta,Semanal,Parcial,Nuevo,,Propuesta Dirección,Es la promesa comercial de TBX; el cliente compara contra la competencia local.,Un pedido confirmado el lunes 7 se entregó en locación el domingo 13 = 6 días. No cumple los 5.
TBX-13,TBX,03. Resultados financieros,EBITDA TBX,EBITDA de TBX ÷ Ingreso de TBX,≥ 28%,Meta 2026 TBX,Power BI · P&L TBX,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026 TBX: ""01. Margen EBITDA de la unidad"" y ""02. EBITDA"". Activa el bono solo si se alcanza el mínimo del EBITDA planeado.",Ingreso de julio $3.62 MUSD; EBITDA $960 KUSD = 26.5%. No cumple el 28% por $54 KUSD.
TBX-14,TBX,03. Resultados financieros,Margen bruto TBX,(Ingreso − Costo de ventas) ÷ Ingreso,≥ 30%,28%,Power BI · P&L TBX,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026 TBX: ""02. Margen bruto"".",Ingreso $3.62 MUSD menos costo de ventas $2.57 MUSD = margen bruto $1.05 MUSD = 29%. No cumple el 30%.
TBX-15,TBX,03. Resultados financieros,Utilidad antes de impuestos TBX,Utilidad antes de impuestos de TBX,≥ $9 MUSD,Meta 2026 TBX,Power BI · P&L TBX,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo KPIs 2026 TBX: ""02. Utilidad antes de impuestos"". Elimina distorsiones contables.",Acumulado a julio: $4.9 MUSD contra $5.25 MUSD proporcionales de la meta anual = 93%. No cumple el ritmo.
TBX-16,TBX,03. Resultados financieros,EBITDA por headcount TBX,EBITDA de TBX ÷ Plantilla promedio de TBX,"≥ $60,000 USD",Meta 2026 TBX,Business Central + nómina,Trimestral,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026 TBX: ""05. EBITDA / Headcount"".","EBITDA anualizado $12.9 MUSD entre 205 personas = $63,000 USD. Cumple."
TBX-17,TBX,03. Resultados financieros,Reducción de inventario de consumibles,Valor de inventario de consumibles al cierre del año vs. inicio,Reducción ≥ $4 MUSD,Meta 2026 TBX,Business Central · inventario,Trimestral,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo KPIs 2026 TBX: ""15. Reducción de Inventario de consumibles"".",Inventario de consumibles al 1 de enero $11.2 MUSD; al cierre del tercer trimestre $8.6 MUSD = reducción de $2.6 MUSD. Va en 65% de la meta con un trimestre por delante.
TBX-18,TBX,04. Data correcta y actualizada,Pedidos de venta registrados y al día,Rentas y servicios con pedido de venta capturado antes de ejecutar y con estatus actualizado ÷ Ejecutados,100%,Sin medición,Business Central · pedidos de venta,Semanal,Parcial,Se mantiene,,Catálogo 2026,"Catálogo 2026 TBX: ""10. Integridad de la demanda"" (PV 100% · clientes 100%). Ningún contenedor sale del patio sin pedido en sistema.","De 120 rentas y servicios del mes, 104 tenían pedido de venta antes de salir y con estatus al día. 87%. No cumple: 16 contenedores salieron sin pedido en sistema."
TBX-19,TBX,04. Data correcta y actualizada,Órdenes de servicio cerradas en sistema,Órdenes cerradas en Business Central ≤ 48 h de la ejecución física ÷ Órdenes ejecutadas,100%,Sin medición,Business Central · órdenes de servicio,Semanal,Parcial,Nuevo,,Propuesta Dirección,Lo que no está cerrado en sistema no se estima ni se factura.,Se terminaron 120 servicios; 98 se cerraron en sistema dentro de las 48 h. 82%. No cumple.
TBX-20,TBX,04. Data correcta y actualizada,Maestro de contenedores al día,"Contenedores con ubicación, cliente, estatus y certificado vigentes en sistema ÷ Flota de contenedores",100%,Sin medición,Business Central · activos,Mensual,Por construir,Nuevo,,Propuesta Dirección,"Es el maestro del que TBX es dueña. Alimenta productividad, mantenimiento y activo fijo.","De 1,400 contenedores en flota, 1,290 tienen ubicación, cliente y estatus correctos en sistema. 92%. No cumple: 110 aparecen en patio y están en locación, o al revés."
TBX-21,TBX,04. Data correcta y actualizada,Tablero operativo TBX actualizado,"Tablero de productividad, OTIF y fill rate publicado con datos de la semana anterior",Semanal,Parcial,Power BI · TBX,Semanal,Parcial,Nuevo,,Propuesta Dirección,,En julio el tablero se publicó 3 de 4 lunes. No cumple: la semana 29 salió el miércoles.
TBX-22,TBX,05. Control interno y procesos,Seguridad: accidentes y TRIR,"Accidentes registrables × 1,000,000 ÷ Horas hombre",0 · TRIR ≤ 0.5,Sin medición,Seguridad · reportes STPS,Mensual,Parcial,Se mantiene,,Catálogo 2026,"Catálogo 2026 TBX: ""11. Seguridad y equipo operable"".","Cero accidentes registrables en 620,000 horas hombre acumuladas. TRIR = 0. Cumple."
TBX-23,TBX,05. Control interno y procesos,Contenedores operables,Contenedores listos para rentar ÷ Flota total,≥ 90%,Sin dato 2025,Business Central · flota,Semanal,Parcial,Se mantiene,,Catálogo 2026,"Catálogo 2026 TBX: ""11. Seguridad y equipo operable"". Operable es que puede salir; productivo es que salió.","De 1,400 contenedores, 1,232 están listos para rentar; 168 en reparación o sin certificado. 88%. No cumple el 90%."
TBX-24,TBX,05. Control interno y procesos,Certificación de contenedores offshore vigente,Contenedores con placa y certificado vigentes (DNV 2.7-1 / CSC) ÷ Contenedores en operación marina,100%,Sin medición,Registro de certificaciones,Mensual,Parcial,Nuevo,,Propuesta Dirección,Sin certificado vigente el contenedor no sube a plataforma.,"De 420 contenedores en operación marina, 404 tienen certificado vigente. 96%. No cumple: 16 no pueden embarcarse hasta recertificar."
TBX-25,TBX,05. Control interno y procesos,Mantenimiento preventivo de contenedores,Órdenes preventivas ejecutadas en calendario ÷ Programadas,≥ 95%,Sin medición,Business Central · mantenimiento,Mensual,Parcial,Nuevo,,Propuesta Dirección,,Se programaron 140 servicios preventivos en el mes y se ejecutaron 131 en calendario. 94%. No cumple el 95% por un servicio.
TBX-26,TBX,05. Control interno y procesos,Servicios ejecutados con orden del cliente,Rentas y servicios con contrato u orden de compra del cliente antes de ejecutar ÷ Ejecutados,100%,Sin medición,Business Central · pedidos de venta,Mensual,Parcial,Nuevo,,Propuesta Dirección,Cierra la fuga de trabajo ejecutado sin respaldo contractual.,"De 120 rentas y servicios, 116 tenían contrato u orden del cliente antes de salir. 97%. No cumple el 100%: 4 rentas por $28 KUSD se hicieron de palabra."
L-01,Líneas de Servicio,01. Vender más,Ingresos vs. presupuesto por línea,"Ingreso facturado ÷ Presupuesto, medido para cada una de las 7 líneas",≥ 100% en cada línea,Talleres 101%,Business Central · P&L por unidad,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026 Talleres: ""03. Ingresos vs. presupuesto"". Se reporta por línea, no solo el agregado.","Bombas de lodo facturó $1.24 MUSD contra $1.20 MUSD = 103%, cumple. Top drive $780 KUSD contra $900 KUSD = 87%, no cumple."
L-02,Líneas de Servicio,01. Vender más,"Contratos ejercidos (601, 602, 625)",Contratos de gobierno y Pemex con consumo de monto ÷ Contratos vigentes · mezcla de líneas por contrato,100% ejercido,100%,Business Central · contratos,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026 Talleres: ""04. Contratos de gobierno (601, 602, 625)"". Son los contratos con gobierno y Pemex; ninguno debe quedar sin ejercer.","Los 3 contratos (601, 602, 625) tienen consumo en el mes. Cumple. El 625 concentra 80% en bombas de lodo: la mezcla se reporta para decidir si se empuja otra línea."
L-03,Líneas de Servicio,01. Vender más,Refacciones y servicio sobre la base instalada,Ingreso de refacciones y servicio ÷ Ingreso total de la línea · por línea,≥ 40%,Sin medición,Business Central · ventas por línea y tipo,Mensual,Parcial,Nuevo,,Propuesta Dirección,"SUMIMSA vende el equipo y después vive de suministrarle refacciones y servicio. Fabricantes de equipo petrolero obtienen 30–50% de su ingreso en posventa, con margen mayor que el equipo nuevo.","Bombas de lodo: ingreso del trimestre $3.7 MUSD, de los cuales $1.3 MUSD fueron refacciones y servicio = 35%. No cumple el 40%: hay equipos vendidos hace más de un año a los que no se les ha vendido ni una refacción."
L-04,Líneas de Servicio,01. Vender más,Líneas en presupuesto,Líneas con ingreso ≥ 100% del presupuesto ÷ 7 líneas,≥ 6 de 7,Sin medición,Business Central · P&L por unidad,Mensual,Parcial,Nuevo,,Propuesta Dirección,"Indicador de Director: cuántas líneas van bien, no solo cuánto suma el total.","En julio, 4 de las 7 líneas cumplieron su presupuesto (bombas, preventores, cabezales, Katch Kan). No cumple: top drive, ECS y monoboyas quedaron debajo."
L-05,Líneas de Servicio,01. Vender más,Profundidad de catálogo por cliente,Líneas distintas facturadas a cada cliente activo ÷ 7 líneas,≥ 3 líneas,Sin medición,Business Central · ventas por cliente y línea,Trimestral,Por construir,Nuevo,,Propuesta Dirección,Por cliente activo. Mide cuánto del portafolio compra cada cliente. Cada activo de Pemex cuenta como cliente distinto.,"El activo Samaria-Luna compró en el trimestre bombas de lodo, preventores y cabezales: 3 de 7. Cumple. Bellota-Jujo solo rentó top drive: 1 línea. No cumple y es oportunidad."
L-06,Líneas de Servicio,01. Vender más,Backlog contratado de las líneas,Meses de ingreso cubiertos por contratos firmados,≥ 12 meses,Sin medición,Contratos · Comercial,Mensual,Parcial,Nuevo,,Propuesta Dirección,Da visibilidad para invertir en flota.,Contratos firmados por $50 MUSD contra un ingreso mensual promedio de $5.2 MUSD = 9.6 meses. No cumple los 12.
L-07,Líneas de Servicio,02. Entregar mejor,OTIF de servicio en sitio,Servicios completos y en fecha ÷ Servicios comprometidos,≥ 95%,36%,Power BI · Servicio,Semanal,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026 Talleres: ""06. OTIF · Entrega de cara al cliente"".",Se comprometieron 60 servicios en la semana; 41 se ejecutaron completos y en fecha. OTIF = 68%. No cumple el 95%.
L-08,Líneas de Servicio,02. Entregar mejor,Trabajos conciliados y estimados,Servicios ejecutados conciliados con el cliente y estimados ÷ Servicios ejecutados · días de ejecución a estimación,100% · < 45 días,Meta 2026,Business Central · órdenes de servicio,Semanal,Parcial,Se mantiene,,Catálogo 2026,"Catálogo 2026 Talleres: ""09. Facturabilidad"".",Se ejecutaron 38 servicios; 35 quedaron conciliados y estimados = 92%. No cumple: 3 servicios por $210 KUSD no se pueden facturar todavía.
L-09,Líneas de Servicio,02. Entregar mejor,Productividad de talleres,Horas productivas ÷ Horas disponibles de mano de obra,80 – 85%,Sin dato 2025,Business Central · órdenes de servicio,Semanal,Parcial,Se mantiene,,Catálogo 2026,"Catálogo 2026 Talleres: ""07. Productividad de la unidad"".","Un taller con 12 técnicos tuvo 1,920 h disponibles y 1,478 h cargadas a órdenes. 77%. Por debajo del rango."
L-10,Líneas de Servicio,02. Entregar mejor,Calidad a la primera,Trabajos rechazados o retrabajados ÷ Trabajos entregados,< 2%,Sin dato 2025,Business Central · órdenes de servicio,Semanal,Parcial,Se mantiene,,Catálogo 2026,"Catálogo 2026 Talleres: ""08. Calidad a la primera"".","De 110 trabajos entregados en la semana, 4 regresaron por retrabajo. 3.6%. No cumple el 2%."
L-11,Líneas de Servicio,02. Entregar mejor,Tiempo no productivo atribuible (NPT),Horas de paro del equipo del cliente por falta de refacción o servicio de SUMIMSA ÷ Horas de operación del equipo,≤ 2%,Sin medición,Reportes de operación · por construir en BC,Mensual,Por construir,Nuevo,,Propuesta Dirección,Aplica al equipo vendido que SUMIMSA atiende con refacciones y servicio. IADC: el proveedor debe mantenerse ≤ 2–3%. El preventor lleva umbral más estricto.,Una bomba vendida al cliente operó 720 h en el mes y estuvo parada 22 h esperando un sello que SUMIMSA no tenía en stock. NPT = 3.1%. No cumple el 2%.
L-12,Líneas de Servicio,02. Entregar mejor,Respuesta con refacción y servicio en sitio,Horas del reporte de falla a técnico o refacción en locación,≤ 12 h,Sin medición,Órdenes de servicio · bitácora,Mensual,Parcial,Nuevo,,Propuesta Dirección,Es el corazón del modelo: el cliente compró el equipo a SUMIMSA y espera que SUMIMSA lo mantenga operando.,Un top drive falló en Villahermosa a las 6:00; el técnico llegó con la refacción a las 15:30 = 9.5 h. Cumple las 12 h terrestres.
L-13,Líneas de Servicio,03. Resultados financieros,EBITDA por línea,EBITDA de la línea ÷ Ingreso de la línea,28 – 35% según línea,Talleres 27.25%,Business Central · P&L por unidad,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,"Metas por línea: talleres 28%; bombas, preventores y cabezales 30%; top drive 32%; ECS, Katch Kan y monoboyas 35%. Catálogo 2026 Talleres: ""01. Margen EBITDA de la unidad"". Cada gerente de línea responde por el suyo.","Bombas de lodo: ingreso $1.24 MUSD, EBITDA $360 KUSD = 29%. No cumple el 30% por $12 KUSD. Katch Kan: $410 KUSD de ingreso, EBITDA $152 KUSD = 37%. Cumple."
L-14,Líneas de Servicio,03. Resultados financieros,Margen bruto por línea,"(Ingreso − Costo de ventas) ÷ Ingreso, por línea",≥ 30%,28%,Business Central · P&L por unidad,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026 Talleres: ""02. Margen bruto"".",Ingreso agregado $5.1 MUSD menos costo de ventas $3.62 MUSD = 29%. No cumple el 30%.
L-15,Líneas de Servicio,03. Resultados financieros,EBITDA por headcount,EBITDA de las líneas ÷ Plantilla promedio,"≥ $60,000 USD","$64,000 USD",Business Central + nómina,Trimestral,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026 Talleres: ""05. EBITDA / Headcount"".","EBITDA anualizado $16.5 MUSD entre 260 personas = $63,500 USD. Cumple."
L-16,Líneas de Servicio,03. Resultados financieros,Margen de contribución por línea,"(Ingreso − Costo directo) ÷ Ingreso, antes de gasto asignado",≥ 30 – 40%,Sin medición,Business Central · P&L por unidad,Mensual,Parcial,Nuevo,,Propuesta Dirección,"Equipo nuevo ≥ 30%; refacciones y servicio ≥ 40%. Va antes del gasto asignado, por eso debe ser mayor que el EBITDA de la misma línea.","Preventores: venta de equipo $890 KUSD con costo directo $650 KUSD = 27%, no cumple el 30%. Refacciones y servicio $410 KUSD con costo $230 KUSD = 44%, cumple el 40%."
L-17,Líneas de Servicio,04. Data correcta y actualizada,Pedidos de venta registrados y al día,Servicios con pedido de venta capturado antes de ejecutar y con estatus actualizado ÷ Servicios ejecutados,100%,Sin medición,Business Central · pedidos de venta,Semanal,Parcial,Se mantiene,,Catálogo 2026,"Catálogo 2026 Talleres: ""10. Integridad de la demanda"". Ningún servicio arranca sin pedido en sistema.","De 38 servicios ejecutados en la semana, 33 tenían pedido antes de arrancar y con estatus al día. 87%. No cumple: 5 se ejecutaron sin pedido."
L-18,Líneas de Servicio,04. Data correcta y actualizada,Órdenes de servicio cerradas en sistema,Órdenes cerradas en Business Central ≤ 48 h de la ejecución física ÷ Órdenes ejecutadas,100%,Sin medición,Business Central · órdenes de servicio,Semanal,Parcial,Nuevo,,Propuesta Dirección,Lo que no está cerrado en sistema no se estima ni se factura.,Se terminaron 38 servicios; 30 se cerraron en sistema dentro de las 48 h. 79%. No cumple: 8 órdenes siguen abiertas.
L-19,Líneas de Servicio,04. Data correcta y actualizada,Base instalada de equipos al día,"Equipos vendidos y en operación con cliente, ubicación, número de serie e historial de servicio vigentes en sistema ÷ Equipos vendidos en operación",100%,Sin medición,Business Central · activos y flota,Mensual,Por construir,Nuevo,,Propuesta Dirección,Es el maestro del que las líneas son dueñas. Sin base instalada no se puede vender refacción ni servicio de forma proactiva.,"De 1,240 equipos vendidos y en operación con clientes, 1,050 tienen cliente, ubicación, serie e historial de servicio en sistema. 85%. No cumple el 100%: a 190 equipos no se les puede ofrecer refacción porque no se sabe dónde están."
L-20,Líneas de Servicio,04. Data correcta y actualizada,Tablero operativo por línea actualizado,"Tablero de OTIF, NPT, base instalada y EBITDA por línea publicado con datos de la semana anterior",Semanal,Parcial (P&L por unidad),Power BI,Semanal,Parcial,Nuevo,,Propuesta Dirección,,En julio el tablero se publicó 3 de 4 lunes. No cumple.
L-21,Líneas de Servicio,05. Control interno y procesos,Seguridad: accidentes y TRIR,"Accidentes registrables × 1,000,000 ÷ Horas hombre",0 · TRIR ≤ 0.5,Sin medición,Seguridad · reportes STPS,Mensual,Parcial,Se mantiene,,Catálogo 2026,"Catálogo 2026 Talleres: ""11. Seguridad y equipo operable"". IOGP top quartile < 0.5.",Un accidente registrable en 1.3 millones de horas hombre. TRIR = 0.77. No cumple.
L-22,Líneas de Servicio,05. Control interno y procesos,Equipo de taller operable,Equipos y herramienta de taller listos para operar ÷ Equipos de taller,≥ 90%,Sin dato 2025,Business Central · flota,Semanal,Parcial,Se mantiene,,Catálogo 2026,"Catálogo 2026 Talleres: ""11. Seguridad y equipo operable"". Se refiere al equipo propio de los talleres (grúas, tornos, bancos de prueba), no a equipo en renta.","De 48 equipos de taller (grúas, tornos, bancos de prueba), 43 están operables. 90%. Cumple."
L-23,Líneas de Servicio,05. Control interno y procesos,Certificaciones de equipo y personal vigentes,"Equipos y técnicos con certificación vigente ÷ Los que la requieren (API 6A, 7K, 53; OCIMF en monoboyas)",100%,Sin medición,Registro de certificaciones · CH,Mensual,Parcial,Nuevo,,Propuesta Dirección,Sin certificado no se factura: el equipo no sale a pozo.,"De 42 preventores en flota, 40 tienen certificado API 53 vigente. 95%. No cumple: dos no pueden salir hasta recertificar."
L-24,Líneas de Servicio,05. Control interno y procesos,Pruebas de presión aprobadas a la primera,Pruebas exitosas al primer intento ÷ Pruebas realizadas (preventores y cabezales),≥ 98%,Sin medición,Reportes de prueba · bitácora,Mensual,Parcial,Nuevo,,Propuesta Dirección,API 53 y API 6A: el preventor y el cabezal son barreras de presión; una prueba fallida detiene el pozo.,En el mes se hicieron 54 pruebas de presión; 52 pasaron al primer intento. 96%. No cumple el 98%: dos preventores tuvieron fuga en sello de ariete.
L-25,Líneas de Servicio,05. Control interno y procesos,Mantenimiento preventivo de la base instalada,Servicios preventivos contratados por el cliente ejecutados en calendario ÷ Programados,≥ 95%,Sin medición,Business Central · mantenimiento,Mensual,Parcial,Nuevo,,Propuesta Dirección,Es servicio que se cobra: el preventivo programado sobre el equipo vendido.,Con los contratos de servicio se programaron 96 mantenimientos preventivos en el mes; se ejecutaron 88 en calendario. 92%. No cumple el 95%: los 8 pendientes son bombas en locación sin ventana del cliente.
L-26,Líneas de Servicio,05. Control interno y procesos,Servicios ejecutados con orden del cliente,Servicios con contrato u orden de compra del cliente antes de ejecutar ÷ Servicios ejecutados,100%,Sin medición,Business Central · pedidos de venta,Mensual,Parcial,Nuevo,,Propuesta Dirección,Cierra la fuga de trabajo ejecutado sin respaldo contractual.,"De 38 servicios, 36 tenían contrato u orden antes de arrancar. 95%. No cumple: dos por $85 KUSD se hicieron de palabra y están en riesgo de no cobrarse."
C-01,Cadena de Suministros,01. Vender más,OTIF de abasto a operación,Entregas completas y en fecha a las unidades operativas ÷ Solicitadas,≥ 95%,36% (nivel de servicio),Power BI · Servicio,Semanal,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026: ""01. OTIF · Nivel de servicio"". Es el abasto que habilita la venta.",Operación solicitó 180 entregas en la semana; 65 llegaron completas y en fecha. OTIF = 36%. No cumple el 95%. Es el nivel de cierre 2025.
C-02,Cadena de Suministros,01. Vender más,Disponibilidad de refacciones críticas (fill rate A),Líneas de ítems clase A surtidas del inventario al primer pedido ÷ Líneas solicitadas,≥ 97%,Sin medición,Business Central · inventario,Semanal,Parcial,Nuevo,,Propuesta Dirección,Los ítems A son los que paran la operación si faltan.,Se pidieron 220 líneas de ítems clase A; 205 se surtieron del inventario al primer pedido. Fill rate A = 93%. No cumple el 97%: faltaron sellos y válvulas de bomba.
C-03,Cadena de Suministros,01. Vender más,Tiempo de respuesta a requisición urgente,Horas de requisición urgente autorizada a entrega en sitio,≤ 48 h,Sin medición,Business Central · requisiciones,Mensual,Parcial,Nuevo,,Propuesta Dirección,,Una requisición urgente de empaques para preventor se autorizó el lunes a las 9:00 y llegó a locación el miércoles a las 15:00 = 54 h. No cumple las 48 h.
C-04,Cadena de Suministros,02. Entregar mejor,Cumplimiento de abasto de proveedores,Órdenes recibidas completas y a tiempo ÷ Órdenes colocadas,≥ 95%,59%,Power BI · Compras,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026: ""05. Cumplimiento de abasto"". Top quartile APQC 95–98%.",Se colocaron 310 órdenes de compra con fecha de entrega en el mes; 183 llegaron completas y a tiempo. 59%. No cumple el 95%. Es el nivel de cierre 2025.
C-05,Cadena de Suministros,02. Entregar mejor,Ciclo de compra requisición a orden,Días hábiles de requisición aprobada a orden de compra colocada,≤ 7 días,Sin medición,Business Central · compras,Mensual,Parcial,Nuevo,,Propuesta Dirección,"APQC: mediana 8–10, top quartile 4–5.",Una requisición aprobada el 3 de julio se convirtió en orden de compra el 14 de julio = 8 días hábiles. No cumple los 7 días.
